"","itemname","mealtype","quantity","quantitytype","datesort"
"3139","Banana Bread","",24,"Pound",476
"3145","Cheese Ravioli","",10,"Pound",476
"3146","Grilled Havana Chicken w/ Avoc","",5.2,"Pound",476
"3147","Roasted Red Potatoes","",7.6,"Pound",476
"3148","Green Beans w/ Garlic","",5.4,"Pound",476
"3149","Chef's Choice Pasta du Jour","",4.4,"Pound",476
"3150","Meat Sauce","",3.8,"Pound",476
"3151","Meat Sauce","",3.8,"Pound",476
"3152","Marinara Sauce","",4.6,"Pound",476
"3153","Honey Glazed Roasted Carrots","",11,"Pound",476
"3154","Veggie Muffuletta","",21,"Pound",476
"3155","Mashed Potatoes","",50,"Pound",476
"3156","Swedish Meatballs","",2.8,"Pound",476
"3157","Broccoli Macaroni & Cheese","",4.2,"Pound",476
"3158","Honey Glazed Roasted Carrots","",6,"Pound",476
"3159","Mashed Potatoes","",14,"Pound",476
"3160","Chef's Choice Pasta du Jour","",10,"Pound",476
"3161","Marinara Sauce","",2.6,"Pound",476
"3162","Meat Sauce","",6,"Pound",476
"3163","Salad Bar Waste Module","",8,"Pound",476
"3168","Salad Dressing Waste Module","",2.3,"Pound",476
"3169","Buttermilk Pancakes","",82,"Pound",477
"3171","Scrambled Eggs","",25,"Pound",477
"3180","Grilled Hot Dogs","",3,"Pound",477
"3183","Meat Sauce","",0.5,"Pound",477
"3184","Linguini w/ Roasted Tomatoes","",0.2,"Pound",477
"3186","Salad Dressing Waste Module","",14,"Pound",477
"3188","Country Style Hash Browns","",10,"Pound",478
"3196","Cross Trax French Fries","",2,"Pound",478
"3202","Fried Tater Tots","",3,"Pound",478
"3203","Salad Dressing Waste Module","",5.5,"Pound",478
"3204","Salad Bar Waste Module","",11.2,"Pound",478
"3213","Mashed Potatoes","",8,"Pound",479
"3214","White Bean & Butternut Stew","",5,"Pound",479
"3215","Grilled Chicken Cutlet","",1,"Pound",479
"3216","Grilled Chicken Cutlet","",1,"Pound",479
"3217","Salad Bar Waste Module","",16,"Pound",479
"3218","Salad Dressing Waste Module","",3,"Pound",479
"3219","Salad Bar Waste Module","",16,"Pound",479
"3234","Grilled Cheese","",2,"Pound",481
"3237","Straight Cut French Fries","",2,"Pound",481
"3238","Straight Cut French Fries","",2,"Pound",481
"3239","Cheesy Scrambled Eggs","",9.8,"Pound",482
"3240","Scrambled Eggs","",10,"Pound",482
"3250","Grilled Chicken Cutlet","",7,"Pound",482
"3258","Salad Bar Waste Module","",5,"Pound",482
"3259","Salad Dressing Waste Module","",8,"Pound",482
"3274","Smashed Yukon Gold Potatoes","",10,"Pound",483
"3275","Vegetable Chili","",5.8,"Pound",483
"3277","Meatballs with Marinara","",12.8,"Pound",483
"3278","Baked Ziti","",5.8,"Pound",483
"3279","Grilled Hot Dogs","",3,"Pound",483
"3280","Grilled Cheese","",8,"Pound",483
"3281","Hamburger No Bun","",26,"Pound",483
"3282","Grilled Chicken Cutlet","",8,"Pound",483
"3291","Wrap n' Roll Bar","",9.4,"Pound",484
"3292","Pot Roast Potatoes","",6.8,"Pound",484
"3293","Corn","",3.4,"Pound",484
"3294","Yankee Pot Roast","",3.4,"Pound",484
"3295","Basmati Rice","",1.6,"Pound",484
"3296","Linguini  with White Beans, Ga","",3.4,"Pound",484
"3305","Garlic Bread","",6.2,"Pound",485
"3306","Lemon Butter Scrod","",7.4,"Pound",485
"3307","Chef's Choice Pasta du Jour","",8.6,"Pound",485
"3308","Grilled Chicken Cutlet","",2,"Pound",485
"3309","Italian Grilled Vegetables","",0.4,"Pound",485
"3310","Chef's Choice Pasta du Jour","",10.4,"Pound",485
"3311","Roasted Yukon Golds","",13.6,"Pound",485
"3312","Vegetarian Strudel","",5,"Pound",485
"3313","Vegetarian Strudel","",5,"Pound",485
"3314","Roasted Butternut Squash","",13.4,"Pound",485
"3315","Chicken Chablis","",11.4,"Pound",485
"3316","Sauteed Mushrooms","",7.4,"Pound",485
"3317","White Rice","",11.8,"Pound",485
"3318","Meat Sauce","",5.6,"Pound",485
"3319","Marinara Sauce","",4.4,"Pound",485
"3320","Sauteed Beef Tips","",25,"Pound",485
"3321","Mac & Cheese Bar","",14.2,"Pound",485
"3322","Scrambled Eggs","",7,"Pound",486
"3323","Cheesy Scrambled Eggs","",7,"Pound",486
"3324","Scrambled Egg Whites","",7,"Pound",486
"3326","Baked Chicken Fillet Sandwich","",6.5,"Pound",486
"3327","Cowboy Sausage & Sweet Molasse","",19,"Pound",486
"3328","Tortellini with Roasted Pepper","",9,"Pound",486
"3329","Sicilian Broccoli","",6.5,"Pound",486
"3330","Basmati Rice","",12,"Pound",486
"3331","Pasta Saute Bar","",1.5,"Pound",486
"3332","BBQ Baked Beans","",0.9,"Pound",486
"3333","Rice & Orzo Pilaf","",0.8,"Pound",486
"3334","Corn","",1.6,"Pound",486
"3335","Cheesy Scrambled Eggs","",3.1,"Pound",487
"3336","Scrambled Eggs","",4.4,"Pound",487
"3337","Pork Sausage Links","",4.6,"Pound",487
"3338","Oatmeal Hot Cereal","",4.3,"Pound",487
"3339","Buffalo Mac n' Chicken","",4.5,"Pound",487
"3340","White Rice","",6.1,"Pound",487
"3341","Chef's Choice Pasta du Jour","",3.4,"Pound",487
"3342","Southwest Vegetable Wrap","",3.8,"Pound",487
"3343","Sauteed Peppers","",1.3,"Pound",487
"3344","Sauteed Onions","",1.3,"Pound",487
"3345","Italian Sausage Links","",7.4,"Pound",487
"3346","Meat Sauce","",2.3,"Pound",487
"3347","Marinara Sauce","",2.7,"Pound",487
"3348","Meatball Grinder","",8.9,"Pound",487
"3349","Chipotle Ranch Grilled Chicken","",2,"Pound",487
"3350","Roasted Vegetable Pasta","",3.3,"Pound",487
"3351","Green Beans","",1,"Pound",487
"3352","Slow Cooked Barbeque Beef Bris","",0.8,"Pound",487
"3353","Chef's Choice Pasta du Jour","",1.4,"Pound",487
"3354","Marinara Sauce","",0.4,"Pound",487
"3361","Eggplant Caponata","",8,"Pound",488
"3362","Green Beans","",4.5,"Pound",488
"3363","Chef's Choice Pasta du Jour","",7.3,"Pound",488
"3364","Penne & Sausage Abruzzi","",12,"Pound",488
"3366","Buffalo Mac n' Chicken","",10,"Pound",488
"3367","Steamed Broccoli","",4,"Pound",488
"3368","Ranch Chicken Wings","",3,"Pound",488
"3369","Ranch Chicken Wings","",3,"Pound",488
"3370","Hard Boiled Eggs","",30,"Pound",489
"3371","Sausage Patties","",15,"Pound",489
"3372","Home Fries","",20,"Pound",489
"3374","Scrambled Egg Whites","",10,"Pound",489
"3377","Grilled Hot Dogs","",4,"Pound",489
"3379","Grilled Chicken Cutlet","",5,"Pound",489
"3383","Chef's Choice Pasta du Jour","",5,"Pound",489
"3384","Marinara Sauce","",5,"Pound",489
"3385","Meat Sauce","",7,"Pound",489
"3386","Corn","",4,"Pound",489
"3387","Rotini w/ Vegetables & Roasted","",9,"Pound",489
"3390","Cheese Pizza","",9,"Pound",489
"3391","Cheesy Scrambled Eggs","",10,"Pound",490
"3392","Mini Potato Pancakes","",3,"Pound",490
"3395","Scrambled Eggs","",10,"Pound",490
"3406","Texas BBQ Beef Tender","",5.2,"Pound",490
"3407","Chef's Choice Pasta du Jour","",3.2,"Pound",490
"3408","Gingered Sweet Potatoes","",2.2,"Pound",490
"3409","Deli Bar Waste Module","",5.8,"Pound",490
"3410","Salad Dressing Waste Module","",8.5,"Pound",490
"3411","Salad Bar Waste Module","",15,"Pound",490
"3412","Salad Bar Waste Module","",15,"Pound",490
"3414","Bacon","",10,"Pound",491
"3415","Cheesy Scrambled Eggs","",5,"Pound",491
"3416","Scrambled Egg Whites","",2,"Pound",491
"3418","Scrambled Eggs","",15,"Pound",491
"3419","Mini Potato Pancakes","",5,"Pound",491
"3420","Hard Boiled Eggs","",10,"Pound",491
"3422","Grilled Chicken Cutlet","",6,"Pound",492
"3425","Mac & Cheese Bar","",9.7,"Pound",492
"3426","Mac & Cheese Bar","",9.7,"Pound",492
"3427","Mac & Cheese Bar","",9.7,"Pound",492
"3428","Mac & Cheese Bar","",9.7,"Pound",492
"3429","Mac & Cheese Bar","",9.7,"Pound",492
"3430","Mac & Cheese Bar","",9.7,"Pound",492
"3431","Mac & Cheese Bar","",9.7,"Pound",492
"3432","Chicken Tacos","",8.4,"Pound",493
"3433","Frijoles Refritos Con Queso","",8.6,"Pound",493
"3434","Chef's Choice Pasta du Jour","",7.8,"Pound",493
"3435","Marinara Sauce","",6,"Pound",493
"3436","Meat Sauce","",6.8,"Pound",493
"3437","Straight Cut French Fries","",6,"Pound",494
"3438","Grilled Cheese","",1.8,"Pound",494
"3444","Smoky Dogs with BBQ Peppers an","",5,"Pound",495
"3446","Grilled Chicken Athena","",5.6,"Pound",495
"3447","Basmati Rice","",5.6,"Pound",495
"3448","Pork Cutlet Piccata","",6.4,"Pound",495
"3450","Buttered Noodles","",5.8,"Pound",495
"3451","Crispy Dijon Scrod","",3.8,"Pound",495
"3452","Marinara Sauce","",7.4,"Pound",495
"3453","Tuscan White Beans","",11.8,"Pound",495
"3459","Scrambled Eggs","",15.4,"Pound",497
"3460","Cheesy Scrambled Eggs","",9.6,"Pound",497
"3474","Cider Braised Pot Roast","",2,"Pound",498
"3481","Mac & Cheese Bar","",1,"Pound",499
"3482","French Quarter Steak","",4,"Pound",499
"3483","Bourbon & Black Strap Sweet Po","",2,"Pound",499
"3484","Marinara Sauce","",2,"Pound",499
"3485","Meat Sauce","",1,"Pound",499
"3486","White Rice","",1,"Pound",499
"3487","White Rice","",1,"Pound",499
"3488","Breakfast Potatoes","",2.6,"Pound",500
"3491","Cheesy Scrambled Eggs","",6.8,"Pound",500
"3492","Scrambled Eggs","",6.8,"Pound",500
"3493","Strawberry Topping","",1.6,"Pound",500
"3494","Oatmeal Hot Cereal","",3.8,"Pound",500
"3509","Roasted Red Potatoes","",3,"Pound",523
"3510","Cross Trax French Fries","",3.2,"Pound",523
"3513","Bacon Chili Cheese Burger","",10,"Pound",523
"3515","French Toast Stix","",44,"Pound",524
"3516","Banana Pancakes","",40,"Pound",524
"3523","Hamburger No Bun","",8,"Pound",524
"3525","Soup Bar","",8,"Pound",524
"3526","Creole Rice & Beans","",8,"Pound",525
"3527","Mashed Potatoes","",15,"Pound",525
"3528","Marinara Sauce","",0.6,"Pound",525
"3529","Peas","",3.2,"Pound",525
"3531","Mashed Potatoes","",3,"Pound",525
"3533","Hamburger No Bun","",5,"Pound",525
"3535","Creole Rice & Beans","",4.8,"Pound",525
"3536","Beer Battered Onion Rings","",1,"Pound",526
"3539","White Rice","",1,"Pound",526
"3540","Brown Gravy","",1,"Pound",526
"3541","Cider Braised Pot Roast","",5,"Pound",526
"3545","Tofu Marsala","",7.8,"Pound",528
"3546","Sauteed Vegetable Medley","",4.2,"Pound",528
"3547","Cuban Yellow Rice","",9,"Pound",528
"3548","Cuban Pork Loin","",6.2,"Pound",528
"3549","Salad Bar Waste Module","",17.4,"Pound",528
"3550","Salad Dressing Waste Module","",5.8,"Pound",528
"3551","Grilled Cheese","",9,"Pound",528
"3552","Salad Dressing Waste Module","",5.8,"Pound",528
"3553","Grilled Hot Dogs","",6,"Pound",528
"3556","Deli Bar Waste Module","",9,"Pound",528
"3557","White Rice","",7,"Pound",529
"3558","Parslied Carrots","",2,"Pound",529
"3571","White Rice","",6.6,"Pound",530
"3572","Shrimp Quesadilla","",9.2,"Pound",530
"3573","Stuffed Peppers w/ Couscous","",8,"Pound",530
"3574","Spanish Arroz Amarillo","",9,"Pound",530
"3575","Chicken Rustica","",3.8,"Pound",530
"3576","Spanish Arroz Amarillo","",9,"Pound",530
"3577","Autumn Medley","",0.1,"Pound",530
"3578","Honey Roasted Parsnips & Sweet","",4,"Pound",530
"3579","Meatballs with Marinara","",6.4,"Pound",530
"3580","Spaghetti","",4.8,"Pound",530
"3581","Marinara Sauce","",3,"Pound",530
"3582","Grilled Hot Dogs","",5,"Pound",530
"3583","Grilled Chicken Cutlet","",6,"Pound",530
"3584","Hamburger No Bun","",1,"Pound",530
"3586","Deli Bar Waste Module","",8,"Pound",530
"3590","Straight Cut French Fries","",2,"Pound",531
"3591","Roasted Yukon Golds","",3,"Pound",531
"3592","Corn","",3.8,"Pound",531
"3593","Meat Sauce","",1.8,"Pound",531
"3594","Marinara Sauce","",5.8,"Pound",531
"3595","Combo Rye Bread","",2.2,"Pound",531
"3596","Breakfast Potatoes","",4,"Pound",532
"3599","Salad Dressing Waste Module","",5.6,"Pound",532
"3600","Salad Bar Waste Module","",21.2,"Pound",532
"3601","Deli Bar Waste Module","",7.8,"Pound",532
"3602","French Toast Stix","",6,"Pound",533
"3604","Mini Potato Pancakes","",1.8,"Pound",533
"3605","Blueberry Topping","",7.2,"Pound",533
"3606","Hard Boiled Eggs","",4.8,"Pound",533
"3607","Pulled Pork","",6,"Pound",533
"3608","Grilled Chicken Cutlet","",6,"Pound",533
"3611","Curley Fries","",1,"Pound",533
"3612","Beef Tender Picadillo","",4.6,"Pound",533
"3614","Basmati Rice","",12.4,"Pound",533
"3615","Roasted Yukon Golds","",7.4,"Pound",533
"3616","Steamed Broccoli","",4.8,"Pound",533
"3617","Chef's Choice Pasta du Jour","",4,"Pound",533
"3618","Marinara Sauce","",9.4,"Pound",533
"3619","Meat Sauce","",3,"Pound",533
"3620","Bean Enchilada","",4,"Pound",534
"3621","Grilled Cheese","",11,"Pound",534
"3622","Grilled Hot Dogs","",7,"Pound",534
"3623","Grilled Cheese","",6,"Pound",536
"3626","Curley Fries","",2,"Pound",538
"3627","Grilled Hot Dogs","",3,"Pound",538
"3629","Salad Bar Waste Module","",1.6,"Pound",538
"3630","Salad Dressing Waste Module","",4,"Pound",538
"3631","White Rice","",2,"Pound",538
"3632","White Rice","",2,"Pound",538
"3633","Marinara Sauce","",0.2,"Pound",538
"3636","Home Fries","",1.2,"Pound",540
"3637","Oatmeal Hot Cereal","",4.5,"Pound",540
"3638","Salad Bar Waste Module","",15.8,"Pound",540
"3639","Salad Dressing Waste Module","",3.6,"Pound",540
"3649","Salad Dressing Waste Module","",2,"Pound",544
"3650","Salad Bar Waste Module","",12.7,"Pound",545
"3651","Salad Dressing Waste Module","",3.3,"Pound",545
"3652","Puerto Rican Rice & Beans","",2,"Pound",545
"3653","Nacho Bar","",4.5,"Pound",545
"3654","Basmati Rice","",2,"Pound",545
"3656","French Toast Stix","",15,"Pound",547
"3657","Stir Fry Bar","",2,"Pound",548
"3662","Crinkle Cut Fries","",1.9,"Pound",548
"3664","Stove Top Stuffing","",9.6,"Pound",548
"3665","Peas","",7.8,"Pound",548
"3666","Turkey Gravy","",4.8,"Pound",548
"3667","White Rice","",12,"Pound",548
"3668","Meat Sauce","",7.8,"Pound",548
"3669","Chef's Choice Pasta du Jour","",4,"Pound",548
"3673","Parslied Carrots","",7.5,"Pound",549
"3675","Grilled Hot Dogs","",10,"Pound",550
"3679","Salad Dressing Waste Module","",11,"Pound",551
"3680","Salad Bar Waste Module","",3.7,"Pound",551
"3681","Crinkle Cut Fries","",0.5,"Pound",553
"3686","Pork Gravy","",2,"Pound",553
"3687","Mashed Potatoes","",8,"Pound",553
"3689","Creole Rice & Beans","",2,"Pound",553
"3694","Sloppy Joes on a Bun","",11.4,"Pound",556
"3695","Tofu Marsala","",7.4,"Pound",556
"3698","Cuban Pork Loin","",9.4,"Pound",556
"3699","Chef's Choice Pasta du Jour","",4.6,"Pound",560
"3700","Breakfast Potatoes","",5.8,"Pound",560
"3703","Hamburger No Bun","",8,"Pound",560
"3709","Sauteed Onions","",3.2,"Pound",561
"3710","Sauteed Peppers","",2.4,"Pound",561
"3711","Black Beans & Rice","",2,"Pound",562
"3712","Ranch Roasted Potatoes","",2,"Pound",562
"3714","Beef For French Dip Sandwich","",20,"Pound",562
"3717","Straight Cut French Fries","",4.5,"Pound",565
"3725","Breakfast Potatoes","",4.3,"Pound",567
"3733","Mashed Potatoes","",4,"Pound",568
"3734","Basmati Rice","",2,"Pound",568
"3735","Salad Dressing Waste Module","",4,"Pound",568
"3736","Salad Bar Waste Module","",19.2,"Pound",568
"3738","Straight Cut French Fries","",3,"Pound",569
"3741","Grilled Chicken Cutlet","",3,"Pound",569
"3742","Chicken Chablis","",2.2,"Pound",569
"3744","Roasted Butternut Squash","",8.4,"Pound",569
"3745","White Rice","",9.2,"Pound",569
"3746","Chef's Choice Pasta du Jour","",5.2,"Pound",569
"3747","Meat Sauce","",5.8,"Pound",569
"3749","Fried Hash Brown Patties","",0.5,"Pound",570
"3751","Corn","",2.5,"Pound",570
"3752","Chefs Choice Pasta du Jour","",5,"Pound",570
"3753","Rice & Orzo Pilaf","",10,"Pound",570
"3754","Vegetable Lo Mein","",15,"Pound",570
"3755","Vegan Tortellini","",5,"Pound",570
"3756","Marinara Sauce","",3,"Pound",570
"3757","Meat Sauce","",3,"Pound",570
"3759","Frittata (basic)","",10,"Pound",571
"3762","Salad Dressing Waste Module","",0.7,"Pound",574
"3763","Salad Bar Waste Module","",2,"Pound",574
"3765","Texas BBQ Beef Tender","",3.4,"Pound",574
"3766","Garden Blend Rice","",11.6,"Pound",574
"3767","Corn","",4.8,"Pound",574
"3769","Marinara Sauce","",5.4,"Pound",574
"3770","Meat Sauce","",3.2,"Pound",574
"3771","Chefs Choice Pasta du Jour","",6.2,"Pound",574
"3776","Straight Cut French Fries","",3,"Pound",575
"3778","Deli Bar Waste Module","",5,"Pound",575
"3780","Turkey Gravy","",2,"Pound",576
"3781","Salad Bar Waste Module","",12.2,"Pound",576
"3782","Salad Dressing Waste Module","",4,"Pound",576
"3783","Breakfast Potatoes","",6,"Pound",577
"3784","Frittata (basic)","",1,"Pound",577
"3785","Blueberry Pancakes","",0,"Pound",577
"3787","Lentil Taco in a Hard Shell","",4.2,"Pound",577
"3788","Frijoles Refritos Con Queso","",11.8,"Pound",577
"3793","Oatmeal Hot Cereal","",6.5,"Pound",578
"3794","Frittata (basic)","",2.2,"Pound",578
"3795","Salad Dressing Waste Module","",10,"Pound",578
"3796","Salad Bar Waste Module","",15,"Pound",578
"3797","Corn","",1,"Pound",578
"3798","Chefs Choice Pasta du Jour","",6,"Pound",578
"3799","Fresh Cut Zucchini","",2,"Pound",578
"3800","General Tsos Chicken","",3,"Pound",578
"3801","Marinara Sauce","",2.5,"Pound",578
"3802","Meat Sauce","",3,"Pound",578
"3803","Roasted Red Dill Potatoes","",0.5,"Pound",578
"3804","Veggie Strip Stir Fry","",5,"Pound",578
"3805","White Rice","",2,"Pound",578
"3808","Creole Rice & Beans","",6,"Pound",581
"3809","Baked Pork Chops","",2,"Pound",581
"3810","Mashed Potatoes","",5,"Pound",581
"3811","Marinara Sauce","",1,"Pound",581
"3812","Peas","",5,"Pound",581
"3814","Crinkle Cut Fries","",2,"Pound",581
"3815","Dr. Praegers Burger w/ Bun","",2,"Pound",581
"3817","Grilled Cheese","",9,"Pound",581
"3825","Home Fries","",1,"Pound",584
"3830","Cuban Pork Loin","",10,"Pound",584
"3831","Meat Sauce","",5,"Pound",584
"3832","Corn","",6,"Pound",584
"3833","Pasta Saute Bar","",5,"Pound",584
"3834","Sauteed Vegetable Medley","",4,"Pound",584
"3835","Cuban Yellow Rice","",8,"Pound",584
"3836","Frittata (basic)","",2,"Pound",585
"3837","Frittata (basic)","",2,"Pound",585
"3841","Grilled Hot Dogs","",1,"Pound",585
"3844","Salad Dressing Waste Module","",7,"Pound",585
"3845","Salad Dressing Waste Module","",5.2,"Pound",585
"3846","Vegetable Korma","",2,"Pound",585
"3862","Beer Battered Onion Rings","",1,"Pound",588
"3867","Oatmeal Hot Cereal","",5.2,"Pound",590
"3868","Roasted Summer Vegetables","",28,"Pound",590
"3869","Mashed Potatoes","",22,"Pound",590
"3875","Breakfast Potatoes","",3,"Pound",591
"3876","Basmati Rice Pilaf","",14.2,"Pound",591
"3877","Kapusta & Noodles","",6.8,"Pound",591
"3878","Salad Dressing Waste Module","",15.5,"Pound",591
"3879","Deli Bar Waste Module","",7.4,"Pound",591
"3882","Crinkle Cut Fries","",15,"Pound",591
"3884","Grilled Chicken Cutlet","",10,"Pound",591
"3885","Beef Brisket Tacos","",5.2,"Pound",591
"3886","Lentil Taco in a Hard Shell","",6.6,"Pound",591
"3887","Spanish Rice","",11,"Pound",591
"3889","Chefs Choice Pasta du Jour","",6,"Pound",591
"3890","Meat Sauce","",2.6,"Pound",591
"3891","Marinara Sauce","",4.8,"Pound",591
"3894","Marinara Sauce","",1,"Pound",592
"3907","Steamed Broccoli","",1,"Pound",593
"3908","White Rice","",3,"Pound",594
"3910","Chicken Piccata","",5,"Pound",594
"3911","Marinara Sauce","",6,"Pound",594
"3913","Roasted Garlic Potatoes","",10,"Pound",594
"3914","Meat Sauce","",5,"Pound",594
"3915","Gingered Green Beans and Carrots","",4,"Pound",594
"3916","Curley Fries","",2,"Pound",594
"3921","Salad Bar Waste Module","",16.6,"Pound",595
"3922","Salad Dressing Waste Module","",7.8,"Pound",595
"3924","Green Beans and Tomatoes","",1,"Pound",596
"3925","Home Fries","",25,"Pound",596
"3927","Basmati Rice","",5,"Pound",596
"3928","Brown Gravy","",2,"Pound",596
"3929","Corn","",5,"Pound",596
"3930","Linguini  with White Beans, Garlic & Herbs","",15,"Pound",596
"3931","Mashed Potatoes","",10,"Pound",596
"3932","Yankee Pot Roast","",10,"Pound",596
"3933","Chefs Choice Pasta du Jour","",6,"Pound",596
"3935","Grilled Chicken Cutlet","",6,"Pound",596
"3936","Grilled Hot Dogs","",7,"Pound",596
"3938","Salad Dressing Waste Module","",2.4,"Pound",596
"3939","Salad Bar Waste Module","",10,"Pound",596
"3944","Straight Cut French Fries","",2,"Pound",597
"3946","Sauteed Beef Tips","",5.3,"Pound",597
"3947","Chicken Chablis","",4.2,"Pound",597
"3948","Vegetarian Strudel","",3.8,"Pound",597
"3949","Roasted Yukon Golds","",2.4,"Pound",597
"3950","White Rice","",13.6,"Pound",597
"3951","Roasted Butternut Squash","",7.6,"Pound",597
"3952","Chefs Choice Pasta du Jour","",4.2,"Pound",597
"3953","Sauteed Mushrooms","",0.4,"Pound",597
"3954","Marinara Sauce","",2.8,"Pound",597
"3955","Meat Sauce","",5.6,"Pound",597
"3958","Rice & Orzo Pilaf","",8.6,"Pound",598
"3959","BBQ Baked Beans","",5.8,"Pound",598
"3960","Pulled Pork","",11.8,"Pound",598
"3961","Pork Sausage Links","",2.6,"Pound",599
"3963","Mini Potato Pancakes","",1.9,"Pound",599
"3971","Strawberry Pancakes","",1.6,"Pound",600
"3977","Cross Trax French Fries","",1,"Pound",600
"3983","Corned Beef Hash","",8.4,"Pound",601
"3987","Meat Sauce","",6,"Pound",601
"3990","Puerto Rican Rice & Beans","",6,"Pound",601
"3992","Corn","",4.2,"Pound",602
"3993","Grilled Chicken Bella","",2.4,"Pound",602
"3994","Garden Blend Rice","",12,"Pound",602
"3997","Potato Bar Toppings","",8.6,"Pound",602
"3998","Chefs Choice Pasta du Jour","",1.6,"Pound",602
"3999","Meat Sauce","",0.5,"Pound",602
"4000","Marinara Sauce","",8.6,"Pound",602
"4002","Southwest Caesar Grain Salad","",5,"Pound",603
"4010","Salad Dressing Waste Module","",7.6,"Pound",603
"4011","Salad Bar Waste Module","",16.6,"Pound",603
"4012","Deli Bar Waste Module","",14.7,"Pound",603
"4014","Chicken Tacos","",23.2,"Pound",605
"4019","Shoestring Fries","",2,"Pound",605
"4026","Cheese Sauce","",6.2,"Pound",606
"4027","Sauteed Peppers","",3.6,"Pound",606
"4028","Scalloped Potatoes","",7.2,"Pound",606
"4029","General Tsos Chicken","",11.2,"Pound",606
"4031","Veggie Strip Stir Fry","",5.8,"Pound",606
"4032","Corn","",9.2,"Pound",606
"4033","Fresh Cut Zucchini","",9.6,"Pound",606
"4034","Marinara Sauce","",6.2,"Pound",606
"4035","Meat Sauce","",5,"Pound",606
"4036","Chefs Choice Pasta du Jour","",7,"Pound",606
"4037","Chefs Choice Pasta du Jour","",7,"Pound",606
"4039","Chef's Choice Pasta du Jour","",2,"Pound",617
"4041","Falafel w/ Tahini","",4,"Pound",617
"4042","Meat Sauce","",2,"Pound",617
"4043","Beef Tender Picadillo","",10,"Pound",617
"4045","Chefs Choice Pasta du Jour","",6,"Pound",617
"4046","Grilled Chicken Cutlet","",5,"Pound",617
"4047","Grilled Cheese","",4,"Pound",617
"4049","Curley Fries","",4,"Pound",617
"4050","Basmati Rice","",2,"Pound",617
"4054","Oatmeal Hot Cereal","",8.2,"Pound",618
"4055","Cream of Wheat","",7.6,"Pound",618
"4059","Red Petite Potatoes w/Dill","",13,"Pound",620
"4060","Roasted Root Vegetables","",5,"Pound",620
"4061","Vegan Mongolian Stir Fry","",6,"Pound",620
"4062","Vegan Mongolian Stir Fry","",6,"Pound",620
"4063","Roasted Root Vegetables","",4.8,"Pound",620
"4064","Salad Bar Waste Module","",5.8,"Pound",622
"4065","Salad Dressing Waste Module","",4.1,"Pound",622
"4068","Vegan Pepper Steak Stir Fry","",2.8,"Pound",624
"4079","Brown Gravy","",11,"Pound",624
"4081","Basmati Rice","",4,"Pound",626
"4082","Corn","",30,"Pound",626
"4083","Sticky Rice","",4.7,"Pound",626
"4084","Rice & Orzo Pilaf","",2.2,"Pound",626
"4085","Vegetable Lo Mein","",3.5,"Pound",626
"4086","Basmati Rice","",2,"Pound",629
"4088","Puerto Rican Rice & Beans","",5,"Pound",629
"4092","Crinkle Cut Fries","",0.5,"Pound",629
"4093","Garden Blend Rice","",3.6,"Pound",630
"4094","Grilled Chicken Bella","",3.2,"Pound",630
"4095","Gingered Sweet Potatoes","",6.8,"Pound",630
"4097","Chefs Choice Pasta du Jour","",5.6,"Pound",630
"4098","Meat Sauce","",0.4,"Pound",630
"4099","Marinara Sauce","",7.4,"Pound",630
"4100","Sticky Rice","",3,"Pound",630
"4101","Frittata (basic)","",1,"Pound",631
"4103","French Toast Stix","",2.8,"Pound",631
"4109","Salad Dressing Waste Module","",2.3,"Pound",631
"4110","Brown Sauce","",5.8,"Pound",632
"4111","Green Beans","",5.4,"Pound",632
"4113","Turkey Gravy","",5.2,"Pound",632
"4114","White Rice","",10.8,"Pound",632
"4115","RoastedTurkey","",9.2,"Pound",632
"4116","Peas","",8.6,"Pound",632
"4117","Marinara Sauce","",7.4,"Pound",632
"4118","Meat Sauce","",8.6,"Pound",632
"4119","Chefs Choice Pasta du Jour","",6.6,"Pound",632
"4120","Stove Top Stuffing","",7.4,"Pound",632
"4132","Cream of Wheat","",2.5,"Pound",634
"4134","Oatmeal Hot Cereal","",0,"Pound",634
"4136","Salad Dressing Waste Module","",7,"Pound",665
"4137","Salad Bar Waste Module","",0.5,"Pound",665
"4138","Salad Dressing Waste Module","",7,"Pound",665
"4139","Frittata (basic)","",1.1,"Pound",666
"4140","Oatmeal Hot Cereal","",2.5,"Pound",666
"4150","Crinkle Cut Fries","",0.5,"Pound",667
"4151","Onion Rolls","",20,"Pound",667
"4154","Turkey Gravy","",1,"Pound",667
"4155","Stove Top Stuffing","",4,"Pound",667
"4157","Sticky Rice","",0,"Pound",669
"4171","Cross Trax French Fries","",2,"Pound",670
"4177","Spinach Saute","",1.9,"Pound",670
"4178","Sticky Rice","",2.6,"Pound",670
"4179","Salad Bar Waste Module","",9.8,"Pound",670
"4180","Deli Bar Waste Module","",2.4,"Pound",670
"4181","Roasted Red Dill Potatoes","",10,"Pound",671
"4183","American Chop Suey","",1,"Pound",671
"4186","Bacon","",0.5,"Pound",671
"4189","Mashed Ranch Potatoes","",4,"Pound",671
"4191","Meat Ravioli","",0.5,"Pound",671
"4193","Sticky Rice","",2,"Pound",671
"4194","Rice Pilaf","",5,"Pound",671
"4195","Meat Sauce","",1,"Pound",671
"4196","Marinara Sauce","",3,"Pound",671
"4201","Deli Bar Waste Module","",3.4,"Pound",671
