,Frequency,Location,PLU,ItemName,Most_Recent_LoggedDate
147,1,Dedham,46000027005,Mediterranean Sweet Potato ,2019-12-12
148,1,Dedham,9948248557,SOUP AROMATIC BUTTERNUT,2019-12-15
149,1,Dedham,46000029504,"Sausage, Grilled with Broccoli Rabe",2019-10-17
150,1,Dedham,46000026023,Thai Coconut Shrimp Soup,2019-11-19
151,1,Dedham,46000020417,Traditional Herb Stuffing,2019-12-08
152,0,Dedham,46000006973,Grilled Cajun Chicken Thighs,
153,0,Dedham,46000018070,Cow Bell Hell Smoked Beef Tips ,
154,0,Dedham,46000026998,Blistered Tom & Artichoke Pork Loin ,
155,0,Dedham,46000026991,Za'atar Eggplant,
156,0,Dedham,46000027003,Pistachio Parsley Rice,
157,0,Dedham,46000026992,Honey Pistachio Green Beans,
158,0,Dedham,46000024224,Garlic Zucchini,
159,0,Dedham,46000007355,Roasted Broccoli,
160,0,Dedham,46000006106,Chicken Parmesan ,
161,0,Dedham,46000014728,"Kale, Garlic Wine",
162,0,Dedham,46000020370,"Potatoes, Cider Mustard ",
163,0,Dedham,46000024571,"Carrots, Salt & Vinegar",
164,0,Dedham,46000028979,"Brussel Sprouts, Sweet & Sour",
165,0,Dedham,46000028980,"Green Beans, Caraway Dill",
166,0,Dedham,46000020371,"Pork, Loin Cider Mustard ",
167,0,Dedham,46000020768,Roasted Bier Brats with Apples & Cabbage Oktoberfest,
168,0,Dedham,46000064571,"Pollock, Lemon Dill ",
169,0,Dedham,46000012679,"Chicken, Orange",
170,0,Dedham,46000060410,"Lasagna, Cheese Severino",
171,0,Dedham,46000026987,"Chicken Thighs, Garlic & Herb",
172,0,Dedham,46000064878,"Fries, Waffle ",
173,0,Dedham,46000017196,"Pollock, Sweet Chili ",
174,0,Dedham,46000029305,"Meatloaf, Creamy Smoked Mushroom ",
175,0,Dedham,46000029300,"Cauliflower, Wedges with Butternut Orange Sauce ",
176,0,Dedham,46000029309,"Potatoes, Fingerling Fried Salt & Vinegar ",
177,0,Dedham,46000024415,"Passover, Rosemary Roasted Potatoes with Lemon ",
178,0,Dedham,46000029307,"Pot Pie, Chicken Mushroom Bacon ",
179,0,Dedham,46000029308,"Pot Pie, Turkey Mushroom Bacon ",
180,0,Dedham,46000029302,"Fish, Baked with Butternut Sauce Garlic & Chili ",
181,0,Dedham,46000029306,"Pierogi, Sauerkraut & Sweet Potato",
182,0,Dedham,46000029299,"Brussels Sprouts, Cacio e Pepe ",
183,0,Dedham,46000029301,"Chicken Breast, Apple Cider Glazed",
184,0,Dedham,46000029310,"Romanesco, Autumn with Vegan Parmesan",
185,0,Dedham,46000029303,"Macaroni & Cheese, Butternut",
186,0,Dedham,46000013171,Turmeric Roasted Sweet Potatoes,
187,0,Dedham,46000029918,"Tofu, Ginger Coriander",
188,0,Dedham,46000028909,"Chicken Breast, Mustard Ale Glazed ",
189,0,Dedham,46000028908,"Carrots, Apple Cider Glazed ",
190,0,Dedham,46000028911,"Potatoes, Roasted with Dill & Mustard Ale ",
191,0,Dedham,46000028910,"Greens, Apple Cider ",
192,0,Dedham,46000028907,"Brussels Sprouts, Mustard Ale Sauce",
193,0,Dedham,46000028906,Roasted Brussels w/ Pickled Pepper Vinaigrette,
194,0,Dedham,46000029434,Chicken Game Day Salad,
195,0,Dedham,46000028876,Carrot Cranberry Salad,
196,0,Dedham,46000029438,Waldorf Tofu Salad,
197,0,Dedham,46000028992,Paleo Roasted Cremini Mushrooms,
198,0,Dedham,46000028993,Paleo Roasted Red Bell Peppers,
199,0,Dedham,46000028994,Paleo Roasted Romanesco,
200,0,Dedham,46000030026,Roasted Salt & Pepper Turkey Breast & Gravy,
201,0,Dedham,46000060421,Creamy Mashed Potatoes,
202,0,Dedham,46000030037,Green Beans & Shallots,
203,0,Dedham,46000060718,Saffron Rice,
204,0,Dedham,26264800000,Cajun Turkey,
205,0,Dedham,46000006964,"Salad, Chicken Balsamic with Vegetables NA",
206,0,Dedham,46000011879,"Salad, Quinoa with Celeriac & Apples SB NA",
207,0,Dedham,46000021987,"Salad, Cranberry Orange Kale SB NA",
208,0,Dedham,46000063905,"Salad, Broccoli Crunch RFG CE",
209,0,Dedham,46000060727,"Celery, bias cut",
210,0,Dedham,46000063687,Purple Cauliflower,
211,0,Dedham,46000055829,Blanched Green Beans,
212,0,Dedham,46000063681,Red Grape Tomatoes,
213,0,Dedham,46000018408,"Cauliflower, Kounoupidi with Pistachios & Mint HB NA",
214,0,Dedham,46000026993,"Green Beans, Tomato Garlic HB NA",
215,0,Dedham,46000018440,"Rice, Spanakorizo HB NA",
216,0,Dedham,46000025412,"Beef, Feta Olive HB NA",
217,0,Dedham,46000018407,"Potatoes, Patates Psites HB NA",
218,0,Dedham,46000030013,traditional latkes,
219,0,Dedham,46000030039,"Green Beans, Mushrooms & Tehina 1.5lb eStore CE",
220,0,Dedham,46000030036,"Eggplant, Twice Cooked 2lb eStore CE",
221,0,Dedham,46000030015,Leek & Potato Cakes 2lb Chef LMT eStore CE,
222,0,Dedham,46000030029,"Chicken, Schnitzel with Apple Amba 4lb eStore CE",
223,0,Dedham,9948248927,ALPHABET SOUP,
224,0,Dedham,9948248921,SOUP VEGAN PUMPKIN,
225,0,Dedham,9948248923,JERK CHICKEN,
226,0,Dedham,9948248931,QUINOA CHILI,
227,0,Dedham,9948248935,SOUP CREAMY MUSHROOM,
228,0,Dedham,66797875742,SOUP ITALIAN WEDDING,
229,0,Dedham,46000021749,Ruby Red Grapefruit Rounds,
230,0,Dedham,46000029640,Opal Apple,
231,0,Dedham,46000062563,Pomegranate Seeds,
232,560,Hingham,46000015070,Chicken Tenders,2019-12-15
233,348,Hingham,46000064891,Steamed Broccoli,2019-12-15
234,328,Hingham,46000060414,Macaroni & Cheese,2019-12-15
235,238,Hingham,46000016508,Moms Chicken Soup,2019-12-15
236,210,Hingham,46000057583,Potato Samosa,2019-12-15
237,206,Hingham,46000025411,Beef Cavatappi Chop Suey,2019-12-15
238,199,Hingham,46000057439,Chicken Tikka Masala,2019-12-15
239,198,Hingham,46000016511,Nanas Chicken Noodle Soup,2019-12-14
240,197,Hingham,46000057474,Mashed Potatoes,2019-12-15
241,181,Hingham,46000007356,Roasted Cauliflower,2019-12-15
242,176,Hingham,46000060011,Maple Dry Rub Bacon,2019-12-15
243,173,Hingham,46000005582,Carrot Ginger Coconut Soup,2019-12-13
244,173,Hingham,46000064940,Scrambled Eggs,2019-12-14
245,169,Hingham,26661900000,Roasted Garlic & Herb Half Rotisserie Chicken,2019-12-15
246,168,Hingham,46000058366,Curry Chicken,2019-12-15
