,Location,Item_Name,PLU,Count
135,West hartford,Roasted Red Peppers,46000059425,1
136,West hartford,Roman Cappellini Pasta Salad,27661900000,1
137,West hartford,"Romanesco, Autumn with Vegan Parmesan",46000029310,1
138,West hartford,SALAD TAILGATE COLESLAW SB,46000010703,1
139,West hartford,"Salad, Cranberry Orange Kale SB NA",46000021987,1
140,West hartford,Sausage Patties,46000065097,1
141,West hartford,Spinach Feta Orzo Salad,27848700000,1
142,West hartford,Tofu Taco Crumble,46000030061,1
143,West hartford,Turkey Chili,46000004909,1
144,West hartford,Zucchini,46000007476,1
145,Westford,Al Forno Patate Potatoes,46000019140,1
146,Westford,Arugula,46000055714,1
147,Westford,Blanched Green Beans,46000055829,1
148,Westford,Breaded Chicken Tender,22785600000,1
149,Westford,Broccoli,46000055751,1
150,Westford,Broccoli Cheddar Quiche,46000050193,1
151,Westford,Buffalo Bleu Macaroni & Cheese,46000003990,1
152,Westford,CAULIFLOWER CAULILINI CURRY SB,46000021721,1
153,Westford,"Chicken, Schnitzel with Apple Amba 4lb eStore CE",46000030029,1
154,Westford,Cranberry Beans,46000029845,1
155,Westford,Eggless Tofu Salad,46000064782,1
156,Westford,Grilled Asparagus,46000007336,1
157,Westford,Grilled Chicken Breast,28452000000,1
158,Westford,Harissa Grilled Chicken Thighs,46000019783,1
159,Westford,Honey Pistachio Green Beans,46000026992,1
160,Westford,Honey Sriracha Fried Tofu,46000020408,1
161,Westford,Hummus,46000059671,1
162,Westford,Lemon Parsley Haddock,46000015649,1
163,Westford,Mushroom & Herb Meatloaf,46000023228,1
164,Westford,Organic Fresh Fields Greens,46000007360,1
165,Westford,POTATO SWEET TURMERIC ROASTED SB,46000013171,1
166,Westford,Paleo Friendly Roasted Red Bell Peppers,46000028993,1
167,Westford,Paleo Friendly Roasted Zucchini,46000028996,1
168,Westford,Pollock Puttanesca,46000029500,1
169,Westford,Prosciutto Roasted Brussels Sprouts,46000058486,1
170,Westford,Red Cabbage,46000055765,1
171,Westford,Rosemary Roasted Potatoes with Lemon,46000024415,1
172,Westford,Sicilian Cauliflower,46000029060,1
173,Westford,Smashed Butternut Squash with Mascarpone,46000029517,1
174,Westford,Spinach Feta Orzo,46000003328,1
175,Westford,Thai Coconut Shrimp Soup,88063200321,1
176,Westford,Vegetable Fried Rice,46000022030,1
177,Westford,traditional latkes,46000030013,1
