PLU,Item_Name,min
46000020371,"Pork, Loin Cider Mustard",2019-10-18
46000011882,Apple Infused Dried Blueberries,2019-10-18
46000024976,Mushroom Herb Chicken,2019-10-18
46000029303,"Macaroni & Cheese, Butternut",2019-10-17
46000028875,Curry Caulilini & Roasted Grape,2019-10-17
46000050194,Quiche Florentine,2019-10-17
46000029304,"Meatballs, Beef Mushroom & Herb",2019-10-16
46000029437,Roasted Turkey and Apricot Salad,2019-10-16
46000029302,Butternut Pollock with Garlic & Chili,2019-10-16
46000029433,Roasted Beets with Pear & Cranberry,2019-10-16
26489600000,SANDWICH BREAKFAST EGG CHEESE ENGLISH MUFFIN HC,2019-10-16
46000022022,Creamed Spinach & Kale Kettle ,2019-10-16
46000064400,Mesclun Goat Cheese Salad,2019-10-15
46000060419,Pasta with Marinara,2019-10-15
46000028964,Roasted Cauliflower with Peppadews,2019-10-15
46000029303,Butternut Macaroni & Cheese,2019-10-14
46000011745,"Cauliflower, Curry Roasted with Peas ",2019-10-13
26485200000,Bacon Egg & Cheese Sandwich,2019-10-13
46000022022,Creamed Spinach & Kale,2019-10-12
46000028907,"Brussels Sprouts, Mustard Ale Sauce",2019-10-11
46000059704,Teriyaki Chicken Thighs,2019-10-11
46000019788,Pickled Beets,2019-10-10
46000060723,Vegetarian Black Beans,2019-10-10
95503,Breakfast Bar,2019-10-10
46000029498,Fig Balsamic Mushrooms,2019-10-10
48000004697,Potato Swt 3/4 Dcd 4X5Lb Cv,2019-10-10
46000060413,Bourbon Wings,2019-10-10
46000029961,"Chicken Korma, Hyderabadi Cashew ",2019-10-09
48000037963,Pico De Gallo,2019-10-09
46000020373,Rainbow Roasted Carrots with Parsley,2019-10-09
46000020407,Maple Roasted Sweet Potatoes,2019-10-09
82512000812,Flour Chips,2019-10-09
82512000610,Corn Chips,2019-10-09
46000055930,Sour Cream,2019-10-09
46000029304,Mushroom & Herb Beef Meatballs,2019-10-09
46000021383,Pumpkin Seed Pesto,2019-10-09
46000007335,Grilled Red Onions,2019-10-08
46000060719,Vegetable Panang,2019-10-08
46000029300,"Cauliflower, Wedges with Butternut Orange Sauce",2019-10-08
46000028910,"Greens, Apple Cider",2019-10-08
46000064576,Grilled Portobello Mushroom,2019-10-08
46000007114,Green Garbanzo Bean Salad,2019-10-08
46000055341,Cauliflower & Radicchio Salad,2019-10-08
46000021385,Avocado Mash,2019-10-08
46000008519,Roasted Apples & Parsnips,2019-10-07
46000025643,Broccoli Cheddar Quiche,2019-10-07
46000024580,Garlic Broccoli Rabe,2019-10-07
46000058489,Plain Wings,2019-10-07
46000028910,Apple Cider Greens,2019-10-07
46000064906,Moroccan Beet Salad,2019-10-07
22593200000,Maria's Beef Meatballs,2019-10-06
48000037962,SALAD KIT CHICKEN CAESAR PASTA,2019-10-06
46000064550,Hemp Seeds,2019-10-06
46000020405,Kale Sauteed with Mushrooms,2019-10-06
46000010140,Lime Chipotle Tofu,2019-10-06
46000063817,Corned Beef Hash,2019-10-06
46000011487,Pierogis with Fried Onions,2019-10-06
46000029504,"Sausage, Grilled with Broccoli Rabe",2019-10-06
46000029506,Mushroom & Kale Cavatappi Pasta,2019-10-06
46000029846,Orange Cauliflower,2019-10-06
46000029435,Cremini Insalata Tricolore,2019-10-06
46000005955,Furikake,2019-10-06
46000018079,Honey Jalapeno Wings,2019-10-06
46000014728,"Kale, Garlic Wine",2019-10-06
46000064879,Tater Tots,2019-10-05
46000055340,Broccolini & Bowtie Pasta Salad,2019-10-05
48000004791,FLOUR TORTILLA CHIPS,2019-10-05
46000028906,Roasted Brussels w/ Pickled Pepper Vinaigrette,2019-10-05
46000055720,Balsamic Vinegar,2019-10-05
46000064881,Challah French Toast,2019-10-05
46000063710,Sweet Chili Wings,2019-10-05
46000064394,FRIES FRENCH REGULAR CUT,2019-10-04
46000029948,Paleo Friendly Chicken Salad,2019-10-04
46000029306,Sauerkraut & Sweet Potato Pierogis,2019-10-04
46000007355,Roasted Broccoli,2019-10-04
46000003328,Spinach Feta Orzo Salad,2019-10-04
46000024762,Buffalo Soy Nuggets,2019-10-04
46000025412,Beef with Feta & Olives,2019-10-04
46000029306,"Pierogi, Sauerkraut & Sweet Potato",2019-10-04
46000029440,Cheese Tortellini with Kale & Apple,2019-10-04
46000014728,Garlic Wine Kale,2019-10-04
46000026985,Jamaican Cabbage Hot Slaw,2019-10-04
46000029305,"Meatloaf, Creamy Smoked Mushroom",2019-10-04
46000007476,Zucchini,2019-10-04
46000024583,Chicken Broccoli Alfredo Pasta,2019-10-04
46000028994,Paleo Roasted Romanesco,2019-10-04
46000008985,Paleo Sriracha Cauliflower,2019-10-04
46000056503,Black Beans,2019-10-04
46000064462,Grilled Yellow Bell Peppers,2019-10-04
46000004680,Chipotle Macaroni & Cheese,2019-10-04
46000029439,Apple Cheddar Brussels Sprout Slaw,2019-10-04
46000050195,QUICHE LORRAINE 24OZ HB,2019-10-03
46000055738,Red Bell Peppers,2019-10-03
46000012679,Orange Chicken,2019-10-03
46000026991,Za'atar Roasted Eggplant,2019-10-03
46000026167,Couscous with Vegetables,2019-10-03
95501,Hot Bar,2019-10-03
46000055832,Chopped Egg,2019-10-03
46000026989,Grilled Lemon Parsley Chicken Quarters,2019-10-03
46000029301,Chicken Breast with Apples & Bacon,2019-10-03
46000028907,Mustard Ale Brussels Sprouts,2019-10-03
46000015892,ONION RED GRILLED SB,2019-10-03
46000019783,Harissa Grilled Chicken Thighs,2019-10-03
46000020411,Chili Garlic Roasted Cauliflower,2019-10-03
46000018643,Black Beans & Brown Rice with Scallions,2019-10-03
46000064480,Roasted Rainbow Carrots,2019-10-03
46000062681,Sausage Peppers and Onions,2019-10-03
46000062679,Roasted Pork with Apples & Sage,2019-10-03
46000064581,Grilled Zucchini,2019-10-03
46000028979,Sweet & Sour Brussels Sprouts,2019-10-03
27110600000,KALE TUSCAN GARLICKY CC,2019-10-03
46000063814,Tofu Pepper Scramble,2019-10-03
46000029309,Salt & Vinegar Fingerling Potatoes,2019-10-03
46000006049,Bacon Ranch Potato Salad,2019-10-03
46000029959,"Beef, Spicy Black Pepper Curry ",2019-10-02
46000055923,Organic Roasted Sweet Potatoes,2019-10-02
46000063825,EGGS POACHED HB,2019-10-02
46000028995,Paleo Roasted Butternut Squash,2019-10-02
46000064443,Manhattan Clam Chowder,2019-10-02
46000028877,Roasted Garlic Broccoli Rabe,2019-10-02
46000055943,Sliced Tomatoes,2019-10-02
46000028992,Paleo Roasted Cremini Mushrooms,2019-10-02
46000055943,Grape Tomatoes ,2019-10-02
46000064572,Lemon Parsley Pollock,2019-10-02
46000027416,Caribbean Mango Chicken Wings,2019-10-02
46000064884,FRENCH TOAST SANDWICH BREAD WHITE HB,2019-10-02
46000026991,Za'atar Eggplant,2019-10-02
46000027169,Hatch Turkey Chili Salad,2019-10-02
46000028962,Marias Meatballs,2019-10-02
46000028911,"Potatoes, Roasted with Dill & Mustard Ale",2019-10-02
46000029497,Agrodulce Carrots,2019-10-02
46000029299,"Brussels Sprouts, Cacio e Pepe",2019-10-02
46000014704,Zucchini Roasted Tomatoes,2019-10-02
46000008385,Grilled Pita,2019-10-02
46000024072,Mediterranean Salmon Salad ,2019-10-02
26661900000,Roasted Garlic & Herb Half Rotisserie Chicken,2019-10-02
46000018433,Berry Power Salad,2019-10-02
46000017413,Spicy Eggplant Harissa,2019-10-02
27254600000,KALE SALAD CRANBERRY WALNUT CC,2019-10-02
46000003326,Cook Falafel,2019-10-02
46000019140,Al Forno Patate Potatoes,2019-10-02
46000024081,Mexican Caesar Salad,2019-10-02
46000024561,Eggplant Rollatinis,2019-10-02
46000024571,Salt & Vinegar Carrots,2019-10-02
46000024415,Rosemary Roasted Potatoes with Lemon,2019-10-02
46000013171,POTATO SWEET TURMERIC ROASTED SB,2019-10-02
46000004373,Mushroom & Barley Soup,2019-10-02
46000025168,Charred Broccolini Caesar Salad,2019-10-02
46000008373,Teriyaki Chicken Wings,2019-10-02
46000013789,Vegan Split Pea Soup,2019-10-02
46000024575,Marinated Feta,2019-10-02
46000007160,Chicken Caesar Pasta Salad,2019-10-01
46000059671,Hummus,2019-10-01
46000060242,Salmon Salad,2019-10-01
46000060011,Maple Dry Rub Bacon,2019-10-01
46000060011,Bacon ,2019-10-01
46000059679,PEPPERS ONIONS SAUTEED SB,2019-10-01
46000060011,Bacon,2019-10-01
46000059993,Roasted Eggplant,2019-10-01
46000007161,SALAD FOUR BEAN SB,2019-10-01
46000059701,Olive Tomato Parsley Pollock,2019-10-01
46000059679,Sautéed Peppers & Onions,2019-10-01
46000007289,Baked Barbeque Chicken,2019-10-01
46000059700,OMELETTE HAM CHEESE HB,2019-10-01
46000059700,Ham & Cheese Omelet,2019-10-01
46000060270,BBQ Chicken Wings,2019-10-01
46000059680,MUSHROOMS GARLIC SAUTEED SB,2019-10-01
46000059699,Egg White & Spinach Scramble,2019-10-01
46000059680,Sautéed Mushrooms with Garlic,2019-10-01
46000007288,Blue Cheese Crumbles,2019-10-01
46000060268,Steamed Carrots,2019-10-01
46000007115,Dried Cranberries,2019-10-01
46000060270,BBQ Wings,2019-10-01
46000060630,CHEESE CHEDDAR SHREDDED SB,2019-10-01
46000005582,Carrot Ginger Coconut Soup,2019-10-01
46000005678,Chicken Cacciatore,2019-10-01
46000060727,CV Celery,2019-10-01
46000060727,CELERY SLICED SB,2019-10-01
46000005678,Chicken Cacciatore ,2019-10-01
46000006106,Chicken Parmesan,2019-10-01
46000060718,Saffron Rice,2019-10-01
46000060637,Goat Cheese,2019-10-01
46000060636,Feta Cheese,2019-10-01
46000060630,Cheddar Cheese,2019-10-01
46000060601,SALAD CORN ARUGULA SB,2019-10-01
46000007116,Grated Parmesan,2019-10-01
46000060601,Corn Arugula Salad,2019-10-01
46000060502,Chili Almond Dressing,2019-10-01
46000006607,Black Beans,2019-10-01
46000006965,Chickpea Salad,2019-10-01
46000006971,Spanish Potato Salad,2019-10-01
46000006973,Grilled Cajun Chicken Thighs,2019-10-01
46000060414,Macaroni & Cheese,2019-10-01
46000059670,Sesame Noodle,2019-10-01
46000060410,Cheese Lasagna,2019-10-01
46000060285,Sweet Potato & Vidalia Onion,2019-10-01
46000059670,Sesame Noodles,2019-10-01
46000025411,Beef Cavatappi Chop Suey,2019-10-01
46000059669,Tabbouleh,2019-10-01
46000059666,Tzatziki,2019-10-01
46000007335,Grilled Red Onion,2019-10-01
46000007336,Grilled Asparagus,2019-10-01
46000055943,Tomatoes,2019-10-01
46000007337,Cooked Red Beets,2019-10-01
46000007338,Kalamata Olives,2019-10-01
46000055943,Grape Tomatoes,2019-10-01
46000055938,Strawberries,2019-10-01
46000055935,Organic Spring Mix,2019-10-01
46000055934,Organic Baby Spinach,2019-10-01
46000055933,Spinach,2019-10-01
46000055932,Organic Spinach,2019-10-01
46000055932,Baby Spinach,2019-10-01
46000007356,Roasted Cauliflower,2019-10-01
46000055930,SOUR CREAM SB,2019-10-01
