,Pan_ID,PLU,0
360,106.0,46000055943,1
361,106.0,46000057444,17
362,106.0,46000057474,20
363,106.0,46000057669,23
364,106.0,46000058382,1
365,106.0,46000058735,1
366,106.0,46000059425,1
367,106.0,46000059699,5
368,106.0,46000059700,6
369,106.0,46000059701,59
370,106.0,46000059993,24
371,106.0,46000060011,2
372,106.0,46000060285,1
373,106.0,46000060414,20
374,106.0,46000063050,2
375,106.0,46000063709,10
376,106.0,46000063712,6
377,106.0,46000063817,2
378,106.0,46000063819,5
379,106.0,46000064022,2
380,106.0,46000064399,1
381,106.0,46000064401,1
382,106.0,46000064443,2
383,106.0,46000064603,2
384,106.0,46000064783,1
385,106.0,46000064784,6
386,106.0,46000064881,1
387,106.0,46000064890,9
388,106.0,46000064891,2
389,106.0,46000064940,4
390,106.0,46000065008,7
391,106.0,46000065097,8
392,107.0,22593200000,42
393,107.0,26747000000,20
394,107.0,27848700000,1
395,107.0,46000001661,2
396,107.0,46000003990,23
397,107.0,46000004373,1
398,107.0,46000004909,2
399,107.0,46000004910,2
400,107.0,46000005678,1
401,107.0,46000007290,35
402,107.0,46000007582,10
403,107.0,46000008060,22
404,107.0,46000008373,4
405,107.0,46000008996,1
406,107.0,46000010510,26
407,107.0,46000010550,1
408,107.0,46000011745,1
409,107.0,46000013789,1
410,107.0,46000016509,8
411,107.0,46000016511,6
412,107.0,46000016512,1
413,107.0,46000018074,49
414,107.0,46000018075,27
415,107.0,46000018076,28
416,107.0,46000018077,21
417,107.0,46000018079,1
418,107.0,46000018498,1
419,107.0,46000018499,6
420,107.0,46000019137,55
421,107.0,46000020405,41
422,107.0,46000020411,19
423,107.0,46000025411,6
424,107.0,46000026168,40
425,107.0,46000027163,1
426,107.0,46000029957,19
427,107.0,46000029958,13
428,107.0,46000029959,1
429,107.0,46000029960,26
430,107.0,46000029961,3
431,107.0,46000029962,29
432,107.0,46000055747,1
433,107.0,46000055793,1
434,107.0,46000055807,1
435,107.0,46000055834,1
436,107.0,46000055863,2
437,107.0,46000055892,1
438,107.0,46000055923,2
439,107.0,46000057444,31
440,107.0,46000057474,73
441,107.0,46000057669,23
442,107.0,46000058382,2
443,107.0,46000059671,1
444,107.0,46000059699,3
445,107.0,46000059700,3
446,107.0,46000059701,1
447,107.0,46000059993,17
448,107.0,46000060011,14
449,107.0,46000060414,71
450,107.0,46000063050,2
451,107.0,46000063709,3
452,107.0,46000063712,2
453,107.0,46000063819,2
454,107.0,46000064443,7
455,107.0,46000064603,1
456,107.0,46000064784,1
457,107.0,46000064890,27
458,107.0,46000064891,64
459,107.0,46000064940,2
460,107.0,46000065008,2
461,107.0,46000065097,1
462,108.0,27848700000,1
463,108.0,27994400000,1
464,108.0,46000003326,1
465,108.0,46000004373,10
466,108.0,46000004909,12
467,108.0,46000004910,21
468,108.0,46000005582,4
469,108.0,46000007477,1
470,108.0,46000013789,16
471,108.0,46000016509,45
472,108.0,46000016511,51
473,108.0,46000016512,27
474,108.0,46000018074,1
475,108.0,46000018076,1
476,108.0,46000018498,21
477,108.0,46000018499,40
478,108.0,46000021385,1
479,108.0,46000024077,1
480,108.0,46000024081,1
481,108.0,46000025181,1
482,108.0,46000027069,2
483,108.0,46000027163,1
484,108.0,46000055714,2
485,108.0,46000055729,1
486,108.0,46000055793,1
487,108.0,46000055807,1
488,108.0,46000055823,1
489,108.0,46000055834,1
490,108.0,46000055836,1
491,108.0,46000055842,2
492,108.0,46000055863,3
493,108.0,46000055892,1
494,108.0,46000055903,1
495,108.0,46000055923,3
496,108.0,46000058735,2
497,108.0,46000059425,1
498,108.0,46000059671,1
499,108.0,46000059700,1
500,108.0,46000059701,1
501,108.0,46000060285,1
502,108.0,46000063050,1
503,108.0,46000063819,1
504,108.0,46000064022,1
505,108.0,46000064399,3
506,108.0,46000064401,3
507,108.0,46000064443,67
508,108.0,46000064890,1
509,108.0,46000064940,2
510,108.0,46000065008,1
511,109.0,46000008060,1
512,109.0,46000025411,1
513,109.0,46000055714,1
514,109.0,46000055892,1
515,109.0,46000064443,1
516,109.0,46000064603,1
517,110.0,26120900000,5
518,110.0,27661300000,7
519,110.0,27661900000,4
520,110.0,27848700000,3
521,110.0,27994400000,8
522,110.0,28452000000,2
523,110.0,46000003438,5
524,110.0,46000006607,6
525,110.0,46000007476,7
526,110.0,46000007477,8
527,110.0,46000007609,7
528,110.0,46000010550,5
529,110.0,46000013170,7
530,110.0,46000015079,2
531,110.0,46000018075,4
532,110.0,46000018400,7
533,110.0,46000018433,6
534,110.0,46000022419,10
535,110.0,46000024075,9
536,110.0,46000024076,9
537,110.0,46000024077,9
538,110.0,46000024079,10
539,110.0,46000024081,8
540,110.0,46000024575,1
541,110.0,46000025181,3
542,110.0,46000027069,10
543,110.0,46000027163,10
544,110.0,46000055714,1
545,110.0,46000055729,1
546,110.0,46000055736,3
547,110.0,46000055744,6
548,110.0,46000055747,4
549,110.0,46000055768,4
550,110.0,46000055793,6
551,110.0,46000055807,7
552,110.0,46000055812,7
553,110.0,46000055820,6
554,110.0,46000055823,10
555,110.0,46000055827,3
556,110.0,46000055832,6
557,110.0,46000055834,10
558,110.0,46000055836,6
559,110.0,46000055842,3
560,110.0,46000055848,6
561,110.0,46000055863,10
562,110.0,46000055892,8
563,110.0,46000055903,5
564,110.0,46000055911,6
565,110.0,46000055923,6
566,110.0,46000055938,4
567,110.0,46000055943,2
568,110.0,46000056506,5
